product_id,product_name,brand,category,price,sku,supplier_id
1,Sony Action Figure Set,Sony,Toys,98.93,PECN0DL5,71
2,Hanes Non-Stick Cookware Set,Hanes,Home & Kitchen,39.16,UVFMH07W,227
3,Great Value Whole Milk 1 Gallon,Great Value,Grocery,3.66,E0MP2IXI,146
4,Samsung 1000-Piece Puzzle,Samsung,Toys,28.49,VGOX22IN,124
5,Loreal 12-Speed Blender,Loreal,Home & Kitchen,167.92,997E4UNY,242
6,"Samsung 55"" 4K Smart TV",Samsung,Electronics,119.31,H78OKZ1P,206
7,Adidas Wireless Headphones,Adidas,Electronics,488.45,LSH3TOW4,34
8,Procter & Gamble Women's Slim Jeans,Procter & Gamble,Clothing,21.0,DPQVL00E,71
9,Samsung Classic Board Game,Samsung,Toys,54.68,MS3JN050,61
10,"Sony Laptop 15""",Sony,Electronics,480.77,CZUCQMRU,189
11,Maybelline Whole Milk 1 Gallon,Maybelline,Grocery,17.99,YE0A4ABN,77
12,Apple Cereal Box 18oz,Apple,Grocery,5.27,I6L3UEYB,115
13,Apple Moisturizing Lotion,Apple,Health & Beauty,8.1,QK4LTAHU,156
14,Loreal Classic Board Game,Loreal,Toys,51.75,VR1H61IA,210
15,KitchenAid Smartphone 128GB,KitchenAid,Electronics,990.32,YAM1N0LH,122
16,LG 12-Speed Blender,LG,Home & Kitchen,292.32,FKBI4O6Q,44
17,Coca-Cola Matte Lipstick,Coca-Cola,Health & Beauty,33.67,OVCXEK47,202
18,Sony 1000-Piece Puzzle,Sony,Toys,50.75,I7E1DDQL,62
19,Pepsi Matte Lipstick,Pepsi,Health & Beauty,25.34,Q4D3KZVH,168
20,Great Value 12-Pack Soda,Great Value,Grocery,19.4,OBK3G84U,282
21,Coca-Cola Cereal Box 18oz,Coca-Cola,Grocery,2.94,2EC2IHOY,44
22,IKEA Fluoride Toothpaste,IKEA,Health & Beauty,46.28,C9HX3D43,63
23,"Hasbro 55"" 4K Smart TV",Hasbro,Electronics,335.18,U3OBYGHG,144
24,Hanes 12-Speed Blender,Hanes,Home & Kitchen,191.95,WXR5RDNP,270
25,Adidas Whole Milk 1 Gallon,Adidas,Grocery,19.8,2MTR6SNG,164
26,KitchenAid Daily Shampoo 12oz,KitchenAid,Health & Beauty,45.31,2C9T199D,124
27,Adidas Men's Crew Socks 10-Pack,Adidas,Clothing,155.17,8U9N79GI,163
28,Pepsi Action Figure Set,Pepsi,Toys,73.31,MUF8438T,90
29,Apple 12-Speed Blender,Apple,Home & Kitchen,35.73,VARLW3MG,166
30,Samsung Wireless Headphones,Samsung,Electronics,921.25,71448N7O,52
31,Mattel Cotton T-Shirt,Mattel,Clothing,35.93,F828XG8Y,183
32,IKEA 12-Pack Soda,IKEA,Grocery,8.19,0KGAZU41,291
33,Nike Smartphone 128GB,Nike,Electronics,1389.45,8HU7F0I9,86
34,Great Value 1000-Piece Puzzle,Great Value,Toys,50.2,JICJDAN0,86
35,LG Upright Vacuum,LG,Home & Kitchen,118.34,N32U1IQ2,18
36,Samsung Cotton T-Shirt,Samsung,Clothing,59.61,DM5FC79M,248
37,Samsung Fashion Doll,Samsung,Toys,94.82,F6FDHGZZ,277
38,Mattel Cotton T-Shirt,Mattel,Clothing,55.13,BU4FMPKX,246
39,Coca-Cola Whole Milk 1 Gallon,Coca-Cola,Grocery,4.93,W9RE2Q6J,279
40,Nike Bath Towel Set,Nike,Home & Kitchen,267.94,NQJQIJC1,50
41,"Pepsi Laptop 15""",Pepsi,Electronics,1458.99,VT43PT5R,121
42,Mattel 12-Speed Blender,Mattel,Home & Kitchen,130.55,4BUSU9F8,230
43,Nike 12-Pack Soda,Nike,Grocery,16.36,EP9P9W4J,35
44,"Old Navy Laptop 15""",Old Navy,Electronics,872.88,4S7AZV2E,77
